Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote
FLWS,"1-800 FLOWERS.COM, Inc.",5.27,336424668.5,n/a,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws
FCTY,"1st Century Bancshares, Inc",7.6,70281022.8,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcty
FCCY,1st Constitution Bancorp (NJ),10.13,60727141.66,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy
SRCE,1st Source Corporation,26.8,653265946,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce
FUBC,"1st United Bancorp, Inc. (FL)",7.37,252695602.7,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fubc
VNET,"21Vianet Group, Inc.",15.97,943028500,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet
JOBS,"51job, Inc.",66.49,1954129996,n/a,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs
EGHT,8x8 Inc,9.805,713472326.3,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght
AVHI,"A V Homes, Inc.",16.37,251169264.4,n/a,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi
SHLM,"A. Schulman, Inc.",27.48,808211614.4,n/a,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm
AAON,"AAON, Inc.",25.41,933226285.5,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon
ASTM,"Aastrom Biosciences, Inc.",0.32,24212505.28,n/a,1997,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/astm
ABAX,"ABAXIS, Inc.",41.4,924006600,n/a,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax
ABMD,"ABIOMED, Inc.",23.57,925880346.2,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd
AXAS,Abraxas Petroleum Corporation,2.555,237102114.4,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas
ACTG,Acacia Research Corporation,23.11,1154429129,n/a,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg
ACHC,"Acadia Healthcare Company, Inc.",39.19,1979635156,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc
ACAD,ACADIA Pharmaceuticals Inc.,22.93,2035811754,n/a,1985,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad
ACST,"Acasti Pharma, Inc.",2.75,220715792,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst
AXDX,"Accelerate Diagnostics, Inc.",9.86,408132722.1,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx
ACCL,"Accelrys, Inc.",9.21,511156998.6,n/a,1995,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/accl
ANCX,Access National Corporation,14.8,152565548.4,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx
ARAY,Accuray Incorporated,6.46,482596916.3,n/a,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray
ACRX,"AcelRx Pharmaceuticals, Inc.",11.27,474691092.7,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx
ACET,Aceto Corporation,14.7,412673688,n/a,n/a,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/acet
ACHN,"Achillion Pharmaceuticals, Inc.",7.491,723949446.9,n/a,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn
ACIW,"ACI Worldwide, Inc.",49.64,1962960139,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw
ACNB,ACNB Corporation,16.91,102197546.6,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb
ACOR,"Acorda Therapeutics, Inc.",36.92,1502404685,n/a,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor
ACFN,"Acorn Energy, Inc.",6.02,108905026.7,n/a,n/a,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/acfn
ACTS,"Actions Semiconductor Co., Ltd.",2.66,228760000,n/a,2005,Technology,Semiconductors,http://www.nasdaq.com/symbol/acts
ACPW,"Active Power, Inc.",3.05,59014565.9,n/a,2000,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/acpw
